Command: /Users/admin9/ccass-sentinel/.venv/bin/python /Users/admin9/ccass-sentinel/scripts/daily_runner.py --date 2025/07/01 --auto-backfill
Exit code: 0

STDOUT:
🛰️  CCASS Sentinel Daily Runner — 2025/07/01
  Watchlist: 2796 stocks
  Already have: 500/2796 stocks for 2025/07/01; collecting 2296 missing stocks...
  Progress: 10 processed, 2 collected, 0 errors, 0 pending timeouts
  Progress: 380 processed, 365 collected, 0 errors, 0 pending timeouts
  Progress: 390 processed, 375 collected, 0 errors, 0 pending timeouts
  Progress: 400 processed, 385 collected, 0 errors, 0 pending timeouts
  Progress: 410 processed, 394 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (916 entries)
  Progress: 420 processed, 404 collected, 0 errors, 0 pending timeouts
  Progress: 430 processed, 414 collected, 0 errors, 0 pending timeouts
  Progress: 440 processed, 424 collected, 0 errors, 0 pending timeouts
  Progress: 450 processed, 433 collected, 0 errors, 0 pending timeouts
  Progress: 460 processed, 443 collected, 0 errors, 0 pending timeouts
  Progress: 470 processed, 453 collected, 0 errors, 0 pending timeouts
  Progress: 480 processed, 463 collected, 0 errors, 0 pending timeouts
  Progress: 490 processed, 473 collected, 0 errors, 0 pending timeouts
  Progress: 500 processed, 482 collected, 0 errors, 0 pending timeouts
  Progress: 510 processed, 492 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1018 entries)
  Progress: 520 processed, 502 collected, 0 errors, 0 pending timeouts
  Progress: 530 processed, 512 collected, 0 errors, 0 pending timeouts
  Progress: 540 processed, 522 collected, 0 errors, 0 pending timeouts
  Progress: 550 processed, 531 collected, 0 errors, 0 pending timeouts
  Progress: 560 processed, 541 collected, 0 errors, 0 pending timeouts
  Progress: 570 processed, 551 collected, 0 errors, 0 pending timeouts
  Progress: 580 processed, 561 collected, 0 errors, 0 pending timeouts
  Progress: 590 processed, 571 collected, 0 errors, 0 pending timeouts
  Progress: 600 processed, 581 collected, 0 errors, 0 pending timeouts
  Progress: 610 processed, 591 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1119 entries)
  Progress: 620 processed, 601 collected, 0 errors, 0 pending timeouts
  Progress: 630 processed, 610 collected, 0 errors, 0 pending timeouts
  Progress: 640 processed, 620 collected, 0 errors, 0 pending timeouts
  Progress: 650 processed, 630 collected, 0 errors, 0 pending timeouts
  Progress: 660 processed, 640 collected, 0 errors, 0 pending timeouts
  Progress: 670 processed, 650 collected, 0 errors, 0 pending timeouts
  Progress: 680 processed, 660 collected, 0 errors, 0 pending timeouts
  Progress: 690 processed, 670 collected, 0 errors, 0 pending timeouts
  Progress: 700 processed, 679 collected, 0 errors, 0 pending timeouts
  Progress: 710 processed, 689 collected, 0 errors, 0 pending timeouts
  Progress: 720 processed, 698 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1222 entries)
  Progress: 730 processed, 708 collected, 0 errors, 0 pending timeouts
  Progress: 740 processed, 718 collected, 0 errors, 0 pending timeouts
  Progress: 750 processed, 728 collected, 0 errors, 0 pending timeouts
  Progress: 760 processed, 738 collected, 0 errors, 0 pending timeouts
  Progress: 770 processed, 748 collected, 0 errors, 0 pending timeouts
  Progress: 780 processed, 758 collected, 0 errors, 0 pending timeouts
  Progress: 790 processed, 768 collected, 0 errors, 0 pending timeouts
  Progress: 800 processed, 778 collected, 0 errors, 0 pending timeouts
  Progress: 810 processed, 788 collected, 0 errors, 0 pending timeouts
  Progress: 820 processed, 797 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1323 entries)
  Progress: 830 processed, 807 collected, 0 errors, 0 pending timeouts
  Progress: 840 processed, 817 collected, 0 errors, 0 pending timeouts
  Progress: 850 processed, 827 collected, 0 errors, 0 pending timeouts
  Progress: 860 processed, 837 collected, 0 errors, 0 pending timeouts
  Progress: 870 processed, 846 collected, 0 errors, 0 pending timeouts
  Progress: 880 processed, 856 collected, 0 errors, 0 pending timeouts
  Progress: 890 processed, 866 collected, 0 errors, 0 pending timeouts
  Progress: 900 processed, 876 collected, 0 errors, 0 pending timeouts
  Progress: 910 processed, 885 collected, 0 errors, 0 pending timeouts
  Progress: 920 processed, 895 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1425 entries)
  Progress: 930 processed, 905 collected, 0 errors, 0 pending timeouts
  Progress: 940 processed, 915 collected, 0 errors, 0 pending timeouts
  Progress: 950 processed, 925 collected, 0 errors, 0 pending timeouts
  Progress: 960 processed, 935 collected, 0 errors, 0 pending timeouts
  Progress: 970 processed, 945 collected, 0 errors, 0 pending timeouts
  Progress: 980 processed, 955 collected, 0 errors, 0 pending timeouts
  Progress: 990 processed, 965 collected, 0 errors, 0 pending timeouts
  Progress: 1000 processed, 974 collected, 0 errors, 0 pending timeouts
  Progress: 1010 processed, 984 collected, 0 errors, 0 pending timeouts
  Progress: 1020 processed, 993 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1527 entries)
  Progress: 1030 processed, 1003 collected, 0 errors, 0 pending timeouts
  Progress: 1040 processed, 1013 collected, 0 errors, 0 pending timeouts
  Progress: 1050 processed, 1023 collected, 0 errors, 0 pending timeouts
  Progress: 1060 processed, 1033 collected, 0 errors, 0 pending timeouts
  Progress: 1070 processed, 1043 collected, 0 errors, 0 pending timeouts
  Progress: 1080 processed, 1053 collected, 0 errors, 0 pending timeouts
  Progress: 1090 processed, 1063 collected, 0 errors, 0 pending timeouts
  Progress: 1100 processed, 1073 collected, 0 errors, 0 pending timeouts
  Progress: 1110 processed, 1083 collected, 0 errors, 0 pending timeouts
  Progress: 1120 processed, 1093 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1627 entries)
  Progress: 1130 processed, 1103 collected, 0 errors, 0 pending timeouts
  Progress: 1140 processed, 1113 collected, 0 errors, 0 pending timeouts
  Progress: 1150 processed, 1123 collected, 0 errors, 0 pending timeouts
  Progress: 1160 processed, 1132 collected, 0 errors, 0 pending timeouts
  Progress: 1170 processed, 1142 collected, 0 errors, 0 pending timeouts
  Progress: 1180 processed, 1152 collected, 0 errors, 0 pending timeouts
  Progress: 1190 processed, 1162 collected, 0 errors, 0 pending timeouts
  Progress: 1200 processed, 1172 collected, 0 errors, 0 pending timeouts
  Progress: 1210 processed, 1182 collected, 0 errors, 0 pending timeouts
  Progress: 1220 processed, 1192 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1728 entries)
  Progress: 1230 processed, 1202 collected, 0 errors, 0 pending timeouts
  Progress: 1240 processed, 1212 collected, 0 errors, 0 pending timeouts
  Progress: 1250 processed, 1221 collected, 0 errors, 0 pending timeouts
  Progress: 1260 processed, 1230 collected, 0 errors, 0 pending timeouts
  Progress: 1270 processed, 1240 collected, 0 errors, 0 pending timeouts
  Progress: 1280 processed, 1250 collected, 0 errors, 0 pending timeouts
  Progress: 1290 processed, 1259 collected, 0 errors, 0 pending timeouts
  Progress: 1300 processed, 1268 collected, 0 errors, 0 pending timeouts
  Progress: 1310 processed, 1278 collected, 0 errors, 0 pending timeouts
  Progress: 1320 processed, 1287 collected, 0 errors, 0 pending timeouts
  Progress: 1330 processed, 1295 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1837 entries)
  Progress: 1340 processed, 1302 collected, 0 errors, 0 pending timeouts
  Progress: 1350 processed, 1312 collected, 0 errors, 0 pending timeouts
  Progress: 1360 processed, 1321 collected, 0 errors, 0 pending timeouts
  Progress: 1370 processed, 1327 collected, 0 errors, 0 pending timeouts
  Progress: 1380 processed, 1332 collected, 0 errors, 0 pending timeouts
  Progress: 1390 processed, 1342 collected, 0 errors, 0 pending timeouts
  Progress: 1400 processed, 1350 collected, 0 errors, 0 pending timeouts
  Progress: 1410 processed, 1354 collected, 0 errors, 0 pending timeouts
  Progress: 1420 processed, 1355 collected, 0 errors, 0 pending timeouts
  Progress: 1430 processed, 1360 collected, 0 errors, 0 pending timeouts
  Progress: 1440 processed, 1364 collected, 0 errors, 0 pending timeouts
  Progress: 1450 processed, 1368 collected, 0 errors, 0 pending timeouts
  Progress: 1460 processed, 1373 collected, 0 errors, 0 pending timeouts
  Progress: 1470 processed, 1382 collected, 0 errors, 0 pending timeouts
  Progress: 1480 processed, 1392 collected, 0 errors, 0 pending timeouts
  Progress: 1490 processed, 1396 collected, 0 errors, 0 pending timeouts
  Progress: 1500 processed, 1396 collected, 0 errors, 0 pending timeouts
  Progress: 1510 processed, 1397 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2014 entries)
  Progress: 1520 processed, 1406 collected, 0 errors, 0 pending timeouts
  Progress: 1530 processed, 1415 collected, 0 errors, 0 pending timeouts
  Progress: 1540 processed, 1424 collected, 0 errors, 0 pending timeouts
  Progress: 1550 processed, 1433 collected, 0 errors, 0 pending timeouts
  Progress: 1560 processed, 1443 collected, 0 errors, 0 pending timeouts
  Progress: 1570 processed, 1451 collected, 0 errors, 0 pending timeouts
  Progress: 1580 processed, 1461 collected, 0 errors, 0 pending timeouts
  Progress: 1590 processed, 1470 collected, 0 errors, 0 pending timeouts
  Progress: 1600 processed, 1480 collected, 0 errors, 0 pending timeouts
  Progress: 1610 processed, 1490 collected, 0 errors, 0 pending timeouts
  Progress: 1620 processed, 1499 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2121 entries)
  Progress: 1630 processed, 1507 collected, 0 errors, 0 pending timeouts
  Progress: 1640 processed, 1517 collected, 0 errors, 0 pending timeouts
  Progress: 1650 processed, 1527 collected, 0 errors, 0 pending timeouts
  Progress: 1660 processed, 1536 collected, 0 errors, 0 pending timeouts
  Progress: 1670 processed, 1546 collected, 0 errors, 0 pending timeouts
  Progress: 1680 processed, 1553 collected, 0 errors, 0 pending timeouts
  Progress: 1690 processed, 1562 collected, 0 errors, 0 pending timeouts
  Progress: 1700 processed, 1571 collected, 0 errors, 0 pending timeouts
  Progress: 1710 processed, 1581 collected, 0 errors, 0 pending timeouts
  Progress: 1720 processed, 1590 collected, 0 errors, 0 pending timeouts
  Progress: 1730 processed, 1599 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2231 entries)
  Progress: 1740 processed, 1608 collected, 0 errors, 0 pending timeouts
  Progress: 1750 processed, 1615 collected, 0 errors, 0 pending timeouts
  Progress: 1760 processed, 1625 collected, 0 errors, 0 pending timeouts
  Progress: 1770 processed, 1634 collected, 0 errors, 0 pending timeouts
  Progress: 1780 processed, 1642 collected, 0 errors, 0 pending timeouts
  Progress: 1790 processed, 1652 collected, 0 errors, 0 pending timeouts
  Progress: 1800 processed, 1660 collected, 0 errors, 0 pending timeouts
  Progress: 1810 processed, 1669 collected, 0 errors, 0 pending timeouts
  Progress: 1820 processed, 1679 collected, 0 errors, 0 pending timeouts
  Progress: 1830 processed, 1688 collected, 0 errors, 0 pending timeouts
  Progress: 1840 processed, 1696 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2344 entries)
  Progress: 1850 processed, 1702 collected, 0 errors, 0 pending timeouts
  Progress: 1860 processed, 1711 collected, 0 errors, 0 pending timeouts
  Progress: 1870 processed, 1721 collected, 0 errors, 0 pending timeouts
  Progress: 1880 processed, 1731 collected, 0 errors, 0 pending timeouts
  Progress: 1890 processed, 1741 collected, 0 errors, 0 pending timeouts
  Progress: 1900 processed, 1751 collected, 0 errors, 0 pending timeouts
  Progress: 1910 processed, 1761 collected, 0 errors, 0 pending timeouts
  Progress: 1920 processed, 1771 collected, 0 errors, 0 pending timeouts
  Progress: 1930 processed, 1781 collected, 0 errors, 0 pending timeouts
  Progress: 1940 processed, 1791 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2449 entries)
  Progress: 1950 processed, 1801 collected, 0 errors, 0 pending timeouts
  Progress: 1960 processed, 1811 collected, 0 errors, 0 pending timeouts
  Progress: 1970 processed, 1821 collected, 0 errors, 0 pending timeouts
  Progress: 1980 processed, 1831 collected, 0 errors, 0 pending timeouts
  Progress: 1990 processed, 1841 collected, 0 errors, 0 pending timeouts
  Progress: 2000 processed, 1851 collected, 0 errors, 0 pending timeouts
  Progress: 2010 processed, 1861 collected, 0 errors, 0 pending timeouts
  Progress: 2020 processed, 1871 collected, 0 errors, 0 pending timeouts
  Progress: 2030 processed, 1881 collected, 0 errors, 0 pending timeouts
  Progress: 2040 processed, 1891 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2549 entries)
  Progress: 2050 processed, 1901 collected, 0 errors, 0 pending timeouts
  Progress: 2060 processed, 1911 collected, 0 errors, 0 pending timeouts
  Progress: 2070 processed, 1921 collected, 0 errors, 0 pending timeouts
  Progress: 2080 processed, 1931 collected, 0 errors, 0 pending timeouts
  Progress: 2090 processed, 1941 collected, 0 errors, 0 pending timeouts
  Progress: 2100 processed, 1951 collected, 0 errors, 0 pending timeouts
  Progress: 2110 processed, 1961 collected, 0 errors, 0 pending timeouts
  Progress: 2120 processed, 1971 collected, 0 errors, 0 pending timeouts
  Progress: 2130 processed, 1981 collected, 0 errors, 0 pending timeouts
  Progress: 2140 processed, 1987 collected, 0 errors, 0 pending timeouts
  Progress: 2150 processed, 1991 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2659 entries)
  Progress: 2160 processed, 2001 collected, 0 errors, 0 pending timeouts
  Progress: 2170 processed, 2011 collected, 0 errors, 0 pending timeouts
  Progress: 2180 processed, 2019 collected, 0 errors, 0 pending timeouts
  Progress: 2190 processed, 2029 collected, 0 errors, 0 pending timeouts
  Progress: 2200 processed, 2039 collected, 0 errors, 0 pending timeouts
  Progress: 2210 processed, 2048 collected, 0 errors, 0 pending timeouts
  Progress: 2220 processed, 2057 collected, 0 errors, 0 pending timeouts
  Progress: 2230 processed, 2066 collected, 0 errors, 0 pending timeouts
  Progress: 2240 processed, 2075 collected, 0 errors, 0 pending timeouts
  Progress: 2250 processed, 2085 collected, 0 errors, 0 pending timeouts
  Progress: 2260 processed, 2092 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2768 entries)
  Progress: 2270 processed, 2102 collected, 0 errors, 0 pending timeouts
  Progress: 2280 processed, 2103 collected, 0 errors, 0 pending timeouts
  Progress: 2290 processed, 2103 collected, 0 errors, 0 pending timeouts

  ✅ Collected: 2104 | No data: 192 | Timeouts: 0 | Errors: 0
  💾 Metrics → /Users/admin9/ccass-sentinel/data/ccass_timeseries.json
  💾 Holders → /Users/admin9/ccass-sentinel/data/holders/2025-07-01.json
  📊 Total: 2774 stocks, 76156 snapshots

  ✅ No anomalies detected

  📈 DAILY SUMMARY:
    (no material BT5 moves today)


STDERR:
