Command: /Users/admin9/ccass-sentinel/.venv/bin/python /Users/admin9/ccass-sentinel/scripts/daily_runner.py --date 2025/06/25 --auto-backfill
Exit code: 0

STDOUT:
🛰️  CCASS Sentinel Daily Runner — 2025/06/25
  Watchlist: 2796 stocks
  Already have: 500/2796 stocks for 2025/06/25; collecting 2296 missing stocks...
  Progress: 10 processed, 2 collected, 0 errors, 0 pending timeouts
  Progress: 380 processed, 367 collected, 0 errors, 0 pending timeouts
  Progress: 390 processed, 377 collected, 0 errors, 0 pending timeouts
  Progress: 400 processed, 387 collected, 0 errors, 0 pending timeouts
  Progress: 410 processed, 396 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (914 entries)
  Progress: 420 processed, 406 collected, 0 errors, 0 pending timeouts
  Progress: 430 processed, 416 collected, 0 errors, 0 pending timeouts
  Progress: 440 processed, 426 collected, 0 errors, 0 pending timeouts
  Progress: 450 processed, 435 collected, 0 errors, 0 pending timeouts
  Progress: 460 processed, 445 collected, 0 errors, 0 pending timeouts
  Progress: 470 processed, 455 collected, 0 errors, 0 pending timeouts
  Progress: 480 processed, 465 collected, 0 errors, 0 pending timeouts
  Progress: 490 processed, 475 collected, 0 errors, 0 pending timeouts
  Progress: 500 processed, 484 collected, 0 errors, 0 pending timeouts
  Progress: 510 processed, 494 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1016 entries)
  Progress: 520 processed, 504 collected, 0 errors, 0 pending timeouts
  Progress: 530 processed, 514 collected, 0 errors, 0 pending timeouts
  Progress: 540 processed, 524 collected, 0 errors, 0 pending timeouts
  Progress: 550 processed, 533 collected, 0 errors, 0 pending timeouts
  Progress: 560 processed, 543 collected, 0 errors, 0 pending timeouts
  Progress: 570 processed, 553 collected, 0 errors, 0 pending timeouts
  Progress: 580 processed, 563 collected, 0 errors, 0 pending timeouts
  Progress: 590 processed, 573 collected, 0 errors, 0 pending timeouts
  Progress: 600 processed, 583 collected, 0 errors, 0 pending timeouts
  Progress: 610 processed, 593 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1117 entries)
  Progress: 620 processed, 603 collected, 0 errors, 0 pending timeouts
  Progress: 630 processed, 612 collected, 0 errors, 0 pending timeouts
  Progress: 640 processed, 622 collected, 0 errors, 0 pending timeouts
  Progress: 650 processed, 632 collected, 0 errors, 0 pending timeouts
  Progress: 660 processed, 642 collected, 0 errors, 0 pending timeouts
  Progress: 670 processed, 652 collected, 0 errors, 0 pending timeouts
  Progress: 680 processed, 662 collected, 0 errors, 0 pending timeouts
  Progress: 690 processed, 672 collected, 0 errors, 0 pending timeouts
  Progress: 700 processed, 681 collected, 0 errors, 0 pending timeouts
  Progress: 710 processed, 691 collected, 0 errors, 0 pending timeouts
  Progress: 720 processed, 700 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1220 entries)
  Progress: 730 processed, 710 collected, 0 errors, 0 pending timeouts
  Progress: 740 processed, 720 collected, 0 errors, 0 pending timeouts
  Progress: 750 processed, 730 collected, 0 errors, 0 pending timeouts
  Progress: 760 processed, 740 collected, 0 errors, 0 pending timeouts
  Progress: 770 processed, 750 collected, 0 errors, 0 pending timeouts
  Progress: 780 processed, 760 collected, 0 errors, 0 pending timeouts
  Progress: 790 processed, 770 collected, 0 errors, 0 pending timeouts
  Progress: 800 processed, 780 collected, 0 errors, 0 pending timeouts
  Progress: 810 processed, 790 collected, 0 errors, 0 pending timeouts
  Progress: 820 processed, 799 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1321 entries)
  Progress: 830 processed, 809 collected, 0 errors, 0 pending timeouts
  Progress: 840 processed, 819 collected, 0 errors, 0 pending timeouts
  Progress: 850 processed, 829 collected, 0 errors, 0 pending timeouts
  Progress: 860 processed, 839 collected, 0 errors, 0 pending timeouts
  Progress: 870 processed, 848 collected, 0 errors, 0 pending timeouts
  Progress: 880 processed, 858 collected, 0 errors, 0 pending timeouts
  Progress: 890 processed, 868 collected, 0 errors, 0 pending timeouts
  Progress: 900 processed, 878 collected, 0 errors, 0 pending timeouts
  Progress: 910 processed, 887 collected, 0 errors, 0 pending timeouts
  Progress: 920 processed, 897 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1423 entries)
  Progress: 930 processed, 907 collected, 0 errors, 0 pending timeouts
  Progress: 940 processed, 917 collected, 0 errors, 0 pending timeouts
  Progress: 950 processed, 927 collected, 0 errors, 0 pending timeouts
  Progress: 960 processed, 937 collected, 0 errors, 0 pending timeouts
  Progress: 970 processed, 947 collected, 0 errors, 0 pending timeouts
  Progress: 980 processed, 957 collected, 0 errors, 0 pending timeouts
  Progress: 990 processed, 967 collected, 0 errors, 0 pending timeouts
  Progress: 1000 processed, 976 collected, 0 errors, 0 pending timeouts
  Progress: 1010 processed, 986 collected, 0 errors, 0 pending timeouts
  Progress: 1020 processed, 995 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1525 entries)
  Progress: 1030 processed, 1005 collected, 0 errors, 0 pending timeouts
  Progress: 1040 processed, 1015 collected, 0 errors, 0 pending timeouts
  Progress: 1050 processed, 1025 collected, 0 errors, 0 pending timeouts
  Progress: 1060 processed, 1035 collected, 0 errors, 0 pending timeouts
  Progress: 1070 processed, 1045 collected, 0 errors, 0 pending timeouts
  Progress: 1080 processed, 1055 collected, 0 errors, 0 pending timeouts
  Progress: 1090 processed, 1065 collected, 0 errors, 0 pending timeouts
  Progress: 1100 processed, 1075 collected, 0 errors, 0 pending timeouts
  Progress: 1110 processed, 1085 collected, 0 errors, 0 pending timeouts
  Progress: 1120 processed, 1095 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1625 entries)
  Progress: 1130 processed, 1105 collected, 0 errors, 0 pending timeouts
  Progress: 1140 processed, 1115 collected, 0 errors, 0 pending timeouts
  Progress: 1150 processed, 1125 collected, 0 errors, 0 pending timeouts
  Progress: 1160 processed, 1134 collected, 0 errors, 0 pending timeouts
  Progress: 1170 processed, 1144 collected, 0 errors, 0 pending timeouts
  Progress: 1180 processed, 1154 collected, 0 errors, 0 pending timeouts
  Progress: 1190 processed, 1164 collected, 0 errors, 0 pending timeouts
  Progress: 1200 processed, 1174 collected, 0 errors, 0 pending timeouts
  Progress: 1210 processed, 1184 collected, 0 errors, 0 pending timeouts
  Progress: 1220 processed, 1194 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1726 entries)
  Progress: 1230 processed, 1204 collected, 0 errors, 0 pending timeouts
  Progress: 1240 processed, 1214 collected, 0 errors, 0 pending timeouts
  Progress: 1250 processed, 1223 collected, 0 errors, 0 pending timeouts
  Progress: 1260 processed, 1232 collected, 0 errors, 0 pending timeouts
  Progress: 1270 processed, 1242 collected, 0 errors, 0 pending timeouts
  Progress: 1280 processed, 1252 collected, 0 errors, 0 pending timeouts
  Progress: 1290 processed, 1261 collected, 0 errors, 0 pending timeouts
  Progress: 1300 processed, 1270 collected, 0 errors, 0 pending timeouts
  Progress: 1310 processed, 1280 collected, 0 errors, 0 pending timeouts
  Progress: 1320 processed, 1288 collected, 0 errors, 0 pending timeouts
  Progress: 1330 processed, 1296 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1835 entries)
  💾 Interim holders saved (1836 entries)
  Progress: 1340 processed, 1303 collected, 0 errors, 0 pending timeouts
  Progress: 1350 processed, 1313 collected, 0 errors, 0 pending timeouts
  Progress: 1360 processed, 1322 collected, 0 errors, 0 pending timeouts
  Progress: 1370 processed, 1328 collected, 0 errors, 0 pending timeouts
  Progress: 1380 processed, 1333 collected, 0 errors, 0 pending timeouts
  Progress: 1390 processed, 1343 collected, 0 errors, 0 pending timeouts
  Progress: 1400 processed, 1352 collected, 0 errors, 0 pending timeouts
  Progress: 1410 processed, 1355 collected, 0 errors, 0 pending timeouts
  Progress: 1420 processed, 1356 collected, 0 errors, 0 pending timeouts
  Progress: 1430 processed, 1360 collected, 0 errors, 0 pending timeouts
  Progress: 1440 processed, 1366 collected, 0 errors, 0 pending timeouts
  Progress: 1450 processed, 1369 collected, 0 errors, 0 pending timeouts
  Progress: 1460 processed, 1374 collected, 0 errors, 0 pending timeouts
  Progress: 1470 processed, 1383 collected, 0 errors, 0 pending timeouts
  Progress: 1480 processed, 1393 collected, 0 errors, 0 pending timeouts
  Progress: 1490 processed, 1397 collected, 0 errors, 0 pending timeouts
  Progress: 1500 processed, 1397 collected, 0 errors, 0 pending timeouts
  Progress: 1510 processed, 1397 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2013 entries)
  Progress: 1520 processed, 1407 collected, 0 errors, 0 pending timeouts
  Progress: 1530 processed, 1416 collected, 0 errors, 0 pending timeouts
  Progress: 1540 processed, 1425 collected, 0 errors, 0 pending timeouts
  Progress: 1550 processed, 1434 collected, 0 errors, 0 pending timeouts
  Progress: 1560 processed, 1444 collected, 0 errors, 0 pending timeouts
  Progress: 1570 processed, 1452 collected, 0 errors, 0 pending timeouts
  Progress: 1580 processed, 1462 collected, 0 errors, 0 pending timeouts
  Progress: 1590 processed, 1471 collected, 0 errors, 0 pending timeouts
  Progress: 1600 processed, 1481 collected, 0 errors, 0 pending timeouts
  Progress: 1610 processed, 1491 collected, 0 errors, 0 pending timeouts
  Progress: 1620 processed, 1500 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2120 entries)
  Progress: 1630 processed, 1508 collected, 0 errors, 0 pending timeouts
  Progress: 1640 processed, 1517 collected, 0 errors, 0 pending timeouts
  Progress: 1650 processed, 1527 collected, 0 errors, 0 pending timeouts
  Progress: 1660 processed, 1536 collected, 0 errors, 0 pending timeouts
  Progress: 1670 processed, 1546 collected, 0 errors, 0 pending timeouts
  Progress: 1680 processed, 1553 collected, 0 errors, 0 pending timeouts
  Progress: 1690 processed, 1562 collected, 0 errors, 0 pending timeouts
  Progress: 1700 processed, 1571 collected, 0 errors, 0 pending timeouts
  Progress: 1710 processed, 1581 collected, 0 errors, 0 pending timeouts
  Progress: 1720 processed, 1589 collected, 0 errors, 0 pending timeouts
  Progress: 1730 processed, 1598 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2233 entries)
  Progress: 1740 processed, 1606 collected, 0 errors, 0 pending timeouts
  Progress: 1750 processed, 1613 collected, 0 errors, 0 pending timeouts
  Progress: 1760 processed, 1623 collected, 0 errors, 0 pending timeouts
  Progress: 1770 processed, 1632 collected, 0 errors, 0 pending timeouts
  Progress: 1780 processed, 1640 collected, 0 errors, 0 pending timeouts
  Progress: 1790 processed, 1650 collected, 0 errors, 0 pending timeouts
  Progress: 1800 processed, 1658 collected, 0 errors, 0 pending timeouts
  Progress: 1810 processed, 1666 collected, 0 errors, 0 pending timeouts
  Progress: 1820 processed, 1676 collected, 0 errors, 0 pending timeouts
  Progress: 1830 processed, 1685 collected, 0 errors, 0 pending timeouts
  Progress: 1840 processed, 1693 collected, 0 errors, 0 pending timeouts
  Progress: 1850 processed, 1699 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2352 entries)
  Progress: 1860 processed, 1707 collected, 0 errors, 0 pending timeouts
  Progress: 1870 processed, 1717 collected, 0 errors, 0 pending timeouts
  Progress: 1880 processed, 1727 collected, 0 errors, 0 pending timeouts
  Progress: 1890 processed, 1737 collected, 0 errors, 0 pending timeouts
  Progress: 1900 processed, 1747 collected, 0 errors, 0 pending timeouts
  Progress: 1910 processed, 1757 collected, 0 errors, 0 pending timeouts
  Progress: 1920 processed, 1767 collected, 0 errors, 0 pending timeouts
  Progress: 1930 processed, 1777 collected, 0 errors, 0 pending timeouts
  Progress: 1940 processed, 1787 collected, 0 errors, 0 pending timeouts
  Progress: 1950 processed, 1797 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2453 entries)
  Progress: 1960 processed, 1807 collected, 0 errors, 0 pending timeouts
  Progress: 1970 processed, 1817 collected, 0 errors, 0 pending timeouts
  Progress: 1980 processed, 1827 collected, 0 errors, 0 pending timeouts
  Progress: 1990 processed, 1837 collected, 0 errors, 0 pending timeouts
  Progress: 2000 processed, 1847 collected, 0 errors, 0 pending timeouts
  Progress: 2010 processed, 1857 collected, 0 errors, 0 pending timeouts
  Progress: 2020 processed, 1867 collected, 0 errors, 0 pending timeouts
  Progress: 2030 processed, 1877 collected, 0 errors, 0 pending timeouts
  Progress: 2040 processed, 1887 collected, 0 errors, 0 pending timeouts
  Progress: 2050 processed, 1897 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2553 entries)
  Progress: 2060 processed, 1907 collected, 0 errors, 0 pending timeouts
  Progress: 2070 processed, 1917 collected, 0 errors, 0 pending timeouts
  Progress: 2080 processed, 1927 collected, 0 errors, 0 pending timeouts
  Progress: 2090 processed, 1937 collected, 0 errors, 0 pending timeouts
  Progress: 2100 processed, 1947 collected, 0 errors, 0 pending timeouts
  Progress: 2110 processed, 1957 collected, 0 errors, 0 pending timeouts
  Progress: 2120 processed, 1967 collected, 0 errors, 0 pending timeouts
  Progress: 2130 processed, 1977 collected, 0 errors, 0 pending timeouts
  Progress: 2140 processed, 1983 collected, 0 errors, 0 pending timeouts
  Progress: 2150 processed, 1987 collected, 0 errors, 0 pending timeouts
  Progress: 2160 processed, 1997 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2663 entries)
  Progress: 2170 processed, 2007 collected, 0 errors, 0 pending timeouts
  Progress: 2180 processed, 2015 collected, 0 errors, 0 pending timeouts
  Progress: 2190 processed, 2024 collected, 0 errors, 0 pending timeouts
  Progress: 2200 processed, 2034 collected, 0 errors, 0 pending timeouts
  Progress: 2210 processed, 2043 collected, 0 errors, 0 pending timeouts
  Progress: 2220 processed, 2052 collected, 0 errors, 0 pending timeouts
  Progress: 2230 processed, 2061 collected, 0 errors, 0 pending timeouts
  Progress: 2240 processed, 2070 collected, 0 errors, 0 pending timeouts
  Progress: 2250 processed, 2080 collected, 0 errors, 0 pending timeouts
  Progress: 2260 processed, 2087 collected, 0 errors, 0 pending timeouts
  Progress: 2270 processed, 2097 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2773 entries)
  Progress: 2280 processed, 2107 collected, 0 errors, 0 pending timeouts
  Progress: 2290 processed, 2117 collected, 0 errors, 0 pending timeouts

  ✅ Collected: 2123 | No data: 173 | Timeouts: 0 | Errors: 0
  💾 Metrics → /Users/admin9/ccass-sentinel/data/ccass_timeseries.json
  💾 Holders → /Users/admin9/ccass-sentinel/data/holders/2025-06-25.json
  📊 Total: 2774 stocks, 65704 snapshots

  ✅ No anomalies detected

  📈 DAILY SUMMARY:
    ⬆ 00103: BT5 37.1%→47.3% (+10.2pp)
    ⬇ 00223: BT5 53.1%→44.3% (-8.8pp)
    ⬆ 00296: BT5 41.2%→46.2% (+5.0pp)
    ⬇ 00325: BT5 38.5%→32.4% (-6.1pp)
    ⬇ 00613: BT5 48.8%→22.1% (-26.7pp)
    ⬇ 00873: BT5 33.8%→24.0% (-9.8pp)
    ⬇ 01354: BT5 51.1%→47.8% (-3.3pp)
    ⬇ 01413: BT5 61.1%→57.7% (-3.4pp)
    ⬆ 01985: BT5 60.3%→65.7% (+5.4pp)
    ⬇ 02050: BT5 30.1%→22.3% (-7.8pp)
    ⬆ 02479: BT5 64.3%→67.4% (+3.1pp)
    ⬆ 02512: BT5 47.9%→52.8% (+4.9pp)
    ⬇ 02617: BT5 90.4%→86.1% (-4.3pp)


STDERR:
