Command: /Users/admin9/ccass-sentinel/.venv/bin/python /Users/admin9/ccass-sentinel/scripts/daily_runner.py --date 2025/06/26 --auto-backfill
Exit code: 0

STDOUT:
🛰️  CCASS Sentinel Daily Runner — 2025/06/26
  Watchlist: 2796 stocks
  Already have: 500/2796 stocks for 2025/06/26; collecting 2296 missing stocks...
  Progress: 10 processed, 2 collected, 0 errors, 0 pending timeouts
  Progress: 380 processed, 367 collected, 0 errors, 0 pending timeouts
  Progress: 390 processed, 377 collected, 0 errors, 0 pending timeouts
  Progress: 400 processed, 387 collected, 0 errors, 0 pending timeouts
  Progress: 410 processed, 396 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (914 entries)
  Progress: 420 processed, 406 collected, 0 errors, 0 pending timeouts
  Progress: 430 processed, 416 collected, 0 errors, 0 pending timeouts
  Progress: 440 processed, 426 collected, 0 errors, 0 pending timeouts
  Progress: 450 processed, 435 collected, 0 errors, 0 pending timeouts
  Progress: 460 processed, 445 collected, 0 errors, 0 pending timeouts
  Progress: 470 processed, 455 collected, 0 errors, 0 pending timeouts
  Progress: 480 processed, 465 collected, 0 errors, 0 pending timeouts
  Progress: 490 processed, 475 collected, 0 errors, 0 pending timeouts
  Progress: 500 processed, 484 collected, 0 errors, 0 pending timeouts
  Progress: 510 processed, 494 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1016 entries)
  Progress: 520 processed, 504 collected, 0 errors, 0 pending timeouts
  Progress: 530 processed, 514 collected, 0 errors, 0 pending timeouts
  Progress: 540 processed, 524 collected, 0 errors, 0 pending timeouts
  Progress: 550 processed, 533 collected, 0 errors, 0 pending timeouts
  Progress: 560 processed, 543 collected, 0 errors, 0 pending timeouts
  Progress: 570 processed, 553 collected, 0 errors, 0 pending timeouts
  Progress: 580 processed, 563 collected, 0 errors, 0 pending timeouts
  Progress: 590 processed, 573 collected, 0 errors, 0 pending timeouts
  Progress: 600 processed, 583 collected, 0 errors, 0 pending timeouts
  Progress: 610 processed, 593 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1117 entries)
  Progress: 620 processed, 603 collected, 0 errors, 0 pending timeouts
  Progress: 630 processed, 612 collected, 0 errors, 0 pending timeouts
  Progress: 640 processed, 622 collected, 0 errors, 0 pending timeouts
  Progress: 650 processed, 632 collected, 0 errors, 0 pending timeouts
  Progress: 660 processed, 642 collected, 0 errors, 0 pending timeouts
  Progress: 670 processed, 652 collected, 0 errors, 0 pending timeouts
  Progress: 680 processed, 662 collected, 0 errors, 0 pending timeouts
  Progress: 690 processed, 672 collected, 0 errors, 0 pending timeouts
  Progress: 700 processed, 681 collected, 0 errors, 0 pending timeouts
  Progress: 710 processed, 691 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1219 entries)
  Progress: 720 processed, 700 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1220 entries)
  Progress: 730 processed, 710 collected, 0 errors, 0 pending timeouts
  Progress: 740 processed, 720 collected, 0 errors, 0 pending timeouts
  Progress: 750 processed, 730 collected, 0 errors, 0 pending timeouts
  Progress: 760 processed, 740 collected, 0 errors, 0 pending timeouts
  Progress: 770 processed, 750 collected, 0 errors, 0 pending timeouts
  Progress: 780 processed, 760 collected, 0 errors, 0 pending timeouts
  Progress: 790 processed, 770 collected, 0 errors, 0 pending timeouts
  Progress: 800 processed, 780 collected, 0 errors, 0 pending timeouts
  Progress: 810 processed, 790 collected, 0 errors, 0 pending timeouts
  Progress: 820 processed, 799 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1321 entries)
  Progress: 830 processed, 809 collected, 0 errors, 0 pending timeouts
  Progress: 840 processed, 819 collected, 0 errors, 0 pending timeouts
  Progress: 850 processed, 829 collected, 0 errors, 0 pending timeouts
  Progress: 860 processed, 839 collected, 0 errors, 0 pending timeouts
  Progress: 870 processed, 848 collected, 0 errors, 0 pending timeouts
  Progress: 880 processed, 858 collected, 0 errors, 0 pending timeouts
  Progress: 890 processed, 868 collected, 0 errors, 0 pending timeouts
  Progress: 900 processed, 878 collected, 0 errors, 0 pending timeouts
  Progress: 910 processed, 887 collected, 0 errors, 0 pending timeouts
  Progress: 920 processed, 897 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1423 entries)
  Progress: 930 processed, 907 collected, 0 errors, 0 pending timeouts
  Progress: 940 processed, 917 collected, 0 errors, 0 pending timeouts
  Progress: 950 processed, 927 collected, 0 errors, 0 pending timeouts
  Progress: 960 processed, 937 collected, 0 errors, 0 pending timeouts
  Progress: 970 processed, 947 collected, 0 errors, 0 pending timeouts
  Progress: 980 processed, 957 collected, 0 errors, 0 pending timeouts
  Progress: 990 processed, 967 collected, 0 errors, 0 pending timeouts
  Progress: 1000 processed, 976 collected, 0 errors, 0 pending timeouts
  Progress: 1010 processed, 986 collected, 0 errors, 0 pending timeouts
  Progress: 1020 processed, 995 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1525 entries)
  Progress: 1030 processed, 1005 collected, 0 errors, 0 pending timeouts
  Progress: 1040 processed, 1015 collected, 0 errors, 0 pending timeouts
  Progress: 1050 processed, 1025 collected, 0 errors, 0 pending timeouts
  Progress: 1060 processed, 1035 collected, 0 errors, 0 pending timeouts
  Progress: 1070 processed, 1045 collected, 0 errors, 0 pending timeouts
  Progress: 1080 processed, 1055 collected, 0 errors, 0 pending timeouts
  Progress: 1090 processed, 1065 collected, 0 errors, 0 pending timeouts
  Progress: 1100 processed, 1075 collected, 0 errors, 0 pending timeouts
  Progress: 1110 processed, 1085 collected, 0 errors, 0 pending timeouts
  Progress: 1120 processed, 1095 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1625 entries)
  Progress: 1130 processed, 1105 collected, 0 errors, 0 pending timeouts
  Progress: 1140 processed, 1115 collected, 0 errors, 0 pending timeouts
  Progress: 1150 processed, 1125 collected, 0 errors, 0 pending timeouts
  Progress: 1160 processed, 1134 collected, 0 errors, 0 pending timeouts
  Progress: 1170 processed, 1144 collected, 0 errors, 0 pending timeouts
  Progress: 1180 processed, 1154 collected, 0 errors, 0 pending timeouts
  Progress: 1190 processed, 1164 collected, 0 errors, 0 pending timeouts
  Progress: 1200 processed, 1174 collected, 0 errors, 0 pending timeouts
  Progress: 1210 processed, 1184 collected, 0 errors, 0 pending timeouts
  Progress: 1220 processed, 1194 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1726 entries)
  Progress: 1230 processed, 1204 collected, 0 errors, 0 pending timeouts
  Progress: 1240 processed, 1214 collected, 0 errors, 0 pending timeouts
  Progress: 1250 processed, 1223 collected, 0 errors, 0 pending timeouts
  Progress: 1260 processed, 1232 collected, 0 errors, 0 pending timeouts
  Progress: 1270 processed, 1242 collected, 0 errors, 0 pending timeouts
  Progress: 1280 processed, 1252 collected, 0 errors, 0 pending timeouts
  Progress: 1290 processed, 1261 collected, 0 errors, 0 pending timeouts
  Progress: 1300 processed, 1270 collected, 0 errors, 0 pending timeouts
  Progress: 1310 processed, 1280 collected, 0 errors, 0 pending timeouts
  Progress: 1320 processed, 1289 collected, 0 errors, 0 pending timeouts
  Progress: 1330 processed, 1297 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (1833 entries)
  Progress: 1340 processed, 1304 collected, 0 errors, 0 pending timeouts
  Progress: 1350 processed, 1314 collected, 0 errors, 0 pending timeouts
  Progress: 1360 processed, 1323 collected, 0 errors, 0 pending timeouts
  Progress: 1370 processed, 1329 collected, 0 errors, 0 pending timeouts
  Progress: 1380 processed, 1334 collected, 0 errors, 0 pending timeouts
  Progress: 1390 processed, 1344 collected, 0 errors, 0 pending timeouts
  Progress: 1400 processed, 1353 collected, 0 errors, 0 pending timeouts
  Progress: 1410 processed, 1356 collected, 0 errors, 0 pending timeouts
  Progress: 1420 processed, 1358 collected, 0 errors, 0 pending timeouts
  Progress: 1430 processed, 1362 collected, 0 errors, 0 pending timeouts
  Progress: 1440 processed, 1367 collected, 0 errors, 0 pending timeouts
  Progress: 1450 processed, 1370 collected, 0 errors, 0 pending timeouts
  Progress: 1460 processed, 1375 collected, 0 errors, 0 pending timeouts
  Progress: 1470 processed, 1384 collected, 0 errors, 0 pending timeouts
  Progress: 1480 processed, 1394 collected, 0 errors, 0 pending timeouts
  Progress: 1490 processed, 1398 collected, 0 errors, 0 pending timeouts
  Progress: 1500 processed, 1398 collected, 0 errors, 0 pending timeouts
  Progress: 1510 processed, 1399 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2012 entries)
  Progress: 1520 processed, 1408 collected, 0 errors, 0 pending timeouts
  Progress: 1530 processed, 1417 collected, 0 errors, 0 pending timeouts
  Progress: 1540 processed, 1426 collected, 0 errors, 0 pending timeouts
  Progress: 1550 processed, 1435 collected, 0 errors, 0 pending timeouts
  Progress: 1560 processed, 1445 collected, 0 errors, 0 pending timeouts
  Progress: 1570 processed, 1453 collected, 0 errors, 0 pending timeouts
  Progress: 1580 processed, 1463 collected, 0 errors, 0 pending timeouts
  Progress: 1590 processed, 1472 collected, 0 errors, 0 pending timeouts
  Progress: 1600 processed, 1482 collected, 0 errors, 0 pending timeouts
  Progress: 1610 processed, 1492 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2118 entries)
  💾 Interim holders saved (2119 entries)
  Progress: 1620 processed, 1501 collected, 0 errors, 0 pending timeouts
  Progress: 1630 processed, 1509 collected, 0 errors, 0 pending timeouts
  Progress: 1640 processed, 1518 collected, 0 errors, 0 pending timeouts
  Progress: 1650 processed, 1528 collected, 0 errors, 0 pending timeouts
  Progress: 1660 processed, 1537 collected, 0 errors, 0 pending timeouts
  Progress: 1670 processed, 1547 collected, 0 errors, 0 pending timeouts
  Progress: 1680 processed, 1554 collected, 0 errors, 0 pending timeouts
  Progress: 1690 processed, 1563 collected, 0 errors, 0 pending timeouts
  Progress: 1700 processed, 1572 collected, 0 errors, 0 pending timeouts
  Progress: 1710 processed, 1582 collected, 0 errors, 0 pending timeouts
  Progress: 1720 processed, 1591 collected, 0 errors, 0 pending timeouts
  Progress: 1730 processed, 1600 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2230 entries)
  💾 Interim holders saved (2231 entries)
  Progress: 1740 processed, 1608 collected, 0 errors, 0 pending timeouts
  Progress: 1750 processed, 1615 collected, 0 errors, 0 pending timeouts
  Progress: 1760 processed, 1625 collected, 0 errors, 0 pending timeouts
  Progress: 1770 processed, 1634 collected, 0 errors, 0 pending timeouts
  Progress: 1780 processed, 1642 collected, 0 errors, 0 pending timeouts
  Progress: 1790 processed, 1652 collected, 0 errors, 0 pending timeouts
  Progress: 1800 processed, 1660 collected, 0 errors, 0 pending timeouts
  Progress: 1810 processed, 1669 collected, 0 errors, 0 pending timeouts
  Progress: 1820 processed, 1679 collected, 0 errors, 0 pending timeouts
  Progress: 1830 processed, 1688 collected, 0 errors, 0 pending timeouts
  Progress: 1840 processed, 1696 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2344 entries)
  Progress: 1850 processed, 1702 collected, 0 errors, 0 pending timeouts
  Progress: 1860 processed, 1710 collected, 0 errors, 0 pending timeouts
  Progress: 1870 processed, 1720 collected, 0 errors, 0 pending timeouts
  Progress: 1880 processed, 1730 collected, 0 errors, 0 pending timeouts
  Progress: 1890 processed, 1740 collected, 0 errors, 0 pending timeouts
  Progress: 1900 processed, 1750 collected, 0 errors, 0 pending timeouts
  Progress: 1910 processed, 1760 collected, 0 errors, 0 pending timeouts
  Progress: 1920 processed, 1770 collected, 0 errors, 0 pending timeouts
  Progress: 1930 processed, 1780 collected, 0 errors, 0 pending timeouts
  Progress: 1940 processed, 1790 collected, 0 errors, 0 pending timeouts
  Progress: 1950 processed, 1800 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2450 entries)
  Progress: 1960 processed, 1810 collected, 0 errors, 0 pending timeouts
  Progress: 1970 processed, 1820 collected, 0 errors, 0 pending timeouts
  Progress: 1980 processed, 1830 collected, 0 errors, 0 pending timeouts
  Progress: 1990 processed, 1840 collected, 0 errors, 0 pending timeouts
  Progress: 2000 processed, 1850 collected, 0 errors, 0 pending timeouts
  Progress: 2010 processed, 1860 collected, 0 errors, 0 pending timeouts
  Progress: 2020 processed, 1870 collected, 0 errors, 0 pending timeouts
  Progress: 2030 processed, 1880 collected, 0 errors, 0 pending timeouts
  Progress: 2040 processed, 1890 collected, 0 errors, 0 pending timeouts
  Progress: 2050 processed, 1900 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2550 entries)
  Progress: 2060 processed, 1910 collected, 0 errors, 0 pending timeouts
  Progress: 2070 processed, 1920 collected, 0 errors, 0 pending timeouts
  Progress: 2080 processed, 1930 collected, 0 errors, 0 pending timeouts
  Progress: 2090 processed, 1940 collected, 0 errors, 0 pending timeouts
  Progress: 2100 processed, 1950 collected, 0 errors, 0 pending timeouts
  Progress: 2110 processed, 1960 collected, 0 errors, 0 pending timeouts
  Progress: 2120 processed, 1970 collected, 0 errors, 0 pending timeouts
  Progress: 2130 processed, 1980 collected, 0 errors, 0 pending timeouts
  Progress: 2140 processed, 1986 collected, 0 errors, 0 pending timeouts
  Progress: 2150 processed, 1990 collected, 0 errors, 0 pending timeouts
  Progress: 2160 processed, 2000 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2660 entries)
  Progress: 2170 processed, 2010 collected, 0 errors, 0 pending timeouts
  Progress: 2180 processed, 2018 collected, 0 errors, 0 pending timeouts
  Progress: 2190 processed, 2027 collected, 0 errors, 0 pending timeouts
  Progress: 2200 processed, 2037 collected, 0 errors, 0 pending timeouts
  Progress: 2210 processed, 2046 collected, 0 errors, 0 pending timeouts
  Progress: 2220 processed, 2055 collected, 0 errors, 0 pending timeouts
  Progress: 2230 processed, 2064 collected, 0 errors, 0 pending timeouts
  Progress: 2240 processed, 2073 collected, 0 errors, 0 pending timeouts
  Progress: 2250 processed, 2083 collected, 0 errors, 0 pending timeouts
  Progress: 2260 processed, 2090 collected, 0 errors, 0 pending timeouts
  Progress: 2270 processed, 2100 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (2770 entries)
  Progress: 2280 processed, 2110 collected, 0 errors, 0 pending timeouts
  Progress: 2290 processed, 2120 collected, 0 errors, 0 pending timeouts

  ✅ Collected: 2126 | No data: 170 | Timeouts: 0 | Errors: 0
  💾 Metrics → /Users/admin9/ccass-sentinel/data/ccass_timeseries.json
  💾 Holders → /Users/admin9/ccass-sentinel/data/holders/2025-06-26.json
  📊 Total: 2774 stocks, 68327 snapshots

  ✅ No anomalies detected

  📈 DAILY SUMMARY:
    ⬇ 01396: BT5 37.0%→33.6% (-3.4pp)
    ⬆ 01728: BT5 50.5%→59.5% (+9.0pp)
    ⬇ 02050: BT5 22.3%→18.0% (-4.3pp)
    ⬇ 02558: BT5 63.0%→57.1% (-5.9pp)
    ⬇ 02643: BT5 62.4%→54.9% (-7.6pp)
    ⬇ 06601: BT5 47.5%→41.0% (-6.6pp)
    ⬇ 08340: BT5 65.6%→62.0% (-3.6pp)
    ⬆ 09606: BT5 32.9%→37.3% (+4.5pp)
    ⬆ 89618: BT5 24.8%→29.0% (+4.2pp)


STDERR:
